Word	Simplified	Traditional	Pinyin	Yale (provisional)	IPA
Mârza	默尔扎	默爾扎	Mò'ěrzhā	Mahk-yíh-jaat	
März	梅尔茨	梅爾茨	Méi'ěrcí	Mùih-yíh-chìh	
Médicis	美第奇	美第奇	Měidìqí	Méih-daih-kèih	
Méndez	曼德兹	曼德茲	Màndézī	Maahn-dāk-jī	
Méndez	门德斯	門德斯	Méndésī	Mùhn-dāk-sī	
Ménière	美尼尔	美尼爾	Měiní'ěr	Méih-nèih-yíh	
Mérida	梅里达	梅里達	Méilǐdá	Mùih-léih-daaht	
Möbius	莫比乌斯	莫比烏斯	Mòbǐwūsī	Mohk-béi-wū-sī	
Möhne	慕尼	慕尼	Mùní	Mouh-nèih	
Möller; Merle	默勒	默勒	Mòlè	Mahk-lahk	
Mörtter	默特	默特	Mòtè	Mahk-dahk	
Münster	明斯特	明斯特	Míngsītè	Mìhng-sī-dahk	
Müntzer	闵采尔	閔采爾	Mǐncǎi'ěr	Máhn-chói-yíh	
Mīrzā	米尔扎	米爾扎	Mǐ'ěrzhā	Máih-yíh-jaat	
Naam	拿安	拿安	Ná'ān	Nàh-ngōn	nˈeɪæm
Naamah	拿玛	拿瑪	Námǎ	Nàh-máh	nˈeɪəmʌ
Naaman	乃缦	乃縵	Nǎimàn	Náaih-maahn	nˈeɪəmən
Naamathite	拿玛人	拿瑪人	Námǎrén	Nàh-máh-yàhn	nˈeɪəməθaɪt
Naarah	拿拉	拿拉	Nálā	Nàh-lāai	nˈeɪɚʌ
Naarai	拿莱	拿萊	Nálái	Nàh-lòih	nˈeɪɚaɪ
Naaran	拿兰	拿蘭	Nálán	Nàh-làahn	nˈeɪɚʌn
Naas	内斯	內斯	Nèisī	Noih-sī	
NAB; New American Bible (1970 Catholic translation)	新美国圣经	新美國聖經	Xīn Měiguó Shèngjīng	Sān Méih-gwok Sing-gīng	
Nabal	拿八	拿八	Nábā	Nàh-baat	nˈeɪbəl
Nabataean	纳巴泰	納巴泰	Nàbātài	Naahp-bā-taai	
Naberezhnye Chelny	卡马河畔切尔内	卡馬河畔切爾內	Kǎmǎhépànqiè'ěrnèi	Kā-máh-hòh-buhn-chit-yíh-noih	
Nablus	纳布卢斯	納布盧斯	Nàbùlúsī	Naahp-bou-lòuh-sī	
Nabokov	纳博科夫	納博科夫	Nàbókēfū	Naahp-bok-fō-fū	
Nabonidus	拿波尼度	拿波尼度	Nábōnídù	Nàh-bō-nèih-douh	næbənˈaɪdəs
Nabopolassar	那波帕拉萨尔	那波帕拉薩爾	Nàbōpàlāsà'ěr	Náh-bō-paak-lāai-saat-yíh	
Naboth	拿伯	拿伯	Nábó	Nàh-baak	nˈeɪbɒθ
Nabuco	纳布科	納布科	Nàbùkē	Naahp-bou-fō	
Nacho	纳舒	納舒	Nàshū	Naahp-syū	
Nadab	拿答	拿答	Nádá	Nàh-daap	nˈeɪdæb
Nadezhda	娜杰日达	娜傑日達	Nuójiérìdá	Nàh-giht-yaht-daaht	
Nadezhda	纳杰日达	納傑日達	Nàjiérìdá	Naahp-giht-yaht-daaht	
Nadia	娜迪亚	娜迪亞	Nuódíyà	Nàh-dihk-nga	
Nadia	纳迪亚	納迪亞	Nàdíyà	Naahp-dihk-nga	
Nadine	纳汀	納汀	Nàtīng	Naahp-tīng	
Nadja	娜德亚	娜德亞	Nàdéyà	Nàh-dāk-nga	
Naga	那加	那加	Nàjiā	Náh-gā	
nagana	非洲锥虫病	非洲錐蟲病	Fēizhōu zhuīchóngbìng	Fēi-jāu jēui-chùhng-behng	
Nagano Prefecture (Japan)	长野县	長野縣	Chángyě Xiàn	Chèuhng-yéh Yún	
Naggai	拿该	拿該	Nágāi	Nàh-gōi	nˈæɡʌaɪ
naggingly?	嘚嘚	嘚嘚	dēde	dāk-dāk	
Nagorno	纳戈尔诺	納戈爾諾	Nàgē'ěrnuò	Naahp-gwō-yíh-nohk	
Nagqu (in Tibet)	那曲	那曲	Nàqū	Náh-kūk	
Nagqu (in Tibet)	那曲市	那曲市	Nàqū Shì	Náh-kūk Síh	
Nagua	纳瓜	納瓜	Nàguā	Naahp-gwā	
Nagykanizsa	瑙吉考尼饶	瑙吉考尼饒	Nǎojíkǎoníráo	Nóuh-gāt-háau-nèih-yìuh	
Nagypál	纳吉帕尔	納吉帕爾	Nàjípà'ěr	Naahp-gāt-paak-yíh	
Nahakbria	纳赫布雷厄	納赫布雷厄	Nàhèbùléi'è	Naahp-hāk-bou-lèuih-āak	
Nahal	纳哈尔	納哈爾	Nàhā'ěr	Naahp-hā-yíh	
Nahalal	拿哈拉	拿哈拉	Náhālā	Nàh-hā-lāai	nʌhɒlɒl
Nahamani	拿哈玛尼	拿哈瑪尼	Náhāmǎní	Nàh-hā-máh-nèih	nʌhˈæmənaɪ
Naham (Bible)	拿含	拿含	Náhán	Nàh-hàhm	nˈeɪhæm
Naharai	拿哈莱	拿哈萊	Náhālái	Nàh-hā-lòih	nˈeɪhʌɹaɪ
Nahash	拿辖	拿轄	Náxiá	Nàh-haht	nˈeɪhæʃ
Nahath	拿哈	拿哈	Náhā	Nàh-hā	nˈeɪhæθ
Nahbi	拿比	拿比	Nábǐ	Nàh-béi	nˈɑbaɪ
Nahon	纳翁	納翁	Nàwēng	Naahp-yūng	
Nahor	拿鹤	拿鶴	Náhè	Nàh-hohk	
Nahshon	拿顺	拿順	Náshùn	Nàh-seuhn	nˈɑʃɒn
Nahuatl (language)	纳瓦特尔语	納瓦特爾語	Nàwǎtè'ěryǔ	Naahp-ngáh-dahk-yíh-yúh	
Nahum (ancestor of Christ)	拿鸿	拿鴻	Náhóng	Nàh-hùhng	nˈeɪʊm
Nahum (Bible book)	那鸿书	那鴻書	Nàhóngshū	Náh-hùhng-syū	nˈeɪʊm
Nahum (book, Catholic version)	纳鸿	納鴻	Nàhóng	Naahp-hùhng	nˈeɪʊm
Nahum (modern)	纳胡姆	納胡姆	Nàhúmǔ	Naahp-wùh-móuh	nˈeɪʊm
Nahum (prophet)	那鸿	那鴻	Nàhóng	Náh-hùhng	nˈeɪʊm
Naidong District	乃东区	乃東區	Nǎidōng Qū	Náaih-dūng Kēui	
nailer; nail gun	钉枪	釘槍	dīng qiāng	dēng chēung	
nail (more) stably	钉稳	釘穩	dìngwěn	dēng-wán	
Naiman (banner, in Inner Mongolia)	奈曼旗	奈曼旗	Nàimàn Qí	Noih-maahn Kèih	
Nain	拿因	拿因	Náyīn	Nàh-yān	nˈeɪɪn
Naioth	拿约	拿約	Náyuē	Nàh-yeuk	nˈaɪɒθ
Nairobi	内罗毕	內羅畢	Nèiluóbì	Noih-lòh-bāt	nˌaɪɹˈəʊbi
Nairobi (alternate translation)	奈洛比	奈洛比	Nàiluòbǐ	Noih-lohk-béi	
Najayo	纳卡约	納卡約	Nàkǎyuē	Naahp-kā-yeuk	
Najdi	纳吉迪	納吉迪	Nàjídí	Naahp-gāt-dihk	
Najib	纳吉布	納吉布	Nàjíbù	Naahp-gāt-bou	
Nakhon Nayok province (Thailand)	坤西育府	坤西育府	Kūnxīyùfǔ	Kwān-sāi-yuhk-fú	
Nakhon Nayok province (Thailand, alternate translation)	那空那育	那空那育	Nàkōngnàyù	Náh-hūng-náh-yuhk	
Nalini	纳莉妮	納莉妮	Nàlìnī	Naahp-leih-nèih	
Namaxia District; Namasia District (near Kaohsiung)	那玛夏区	那瑪夏區	Nàmǎxià Qū	Náh-máh-hah Kēui	
name called (something)	名称为	名稱為	míngchēng wéi	mìhng-chīng wàih	
name day (religious)	命名日	命名日	mìngmíng rì	mihng-mìhng yaht	
namely/is (Cantonese)	就系	就係	jiùxì	jauh-haih	
namely (Cantonese version)	即系	即係	jíxì	jīk-haih	nˈeɪmli
name of book (in Bible, short version)	卷名	卷名	juànmíng	gyún-mìhng	
name (something) as	命名为	命名為	mìngmíng wéi	mihng-mìhng wàih	
Name Translation Room (at Xinhua news)	译名室	譯名室	Yìmíng Shì	Yihk-mìhng Sāt	
Namibe	纳米贝	納米貝	Nàmǐbèi	Naahp-máih-bui	
naming-ology (astrology when naming a child)	姓名学	姓名學	xìngmíngxué	sing-mìhng-hohk	
naming (a child) as	取名叫	取名叫	qǔmíng jiào	chéui-mìhng giu	
Nampula	楠普拉	楠普拉	Nánpǔlā	Nàahm-póu-lāai	
Namtaru	南塔鲁	南塔魯	Nántǎlǔ	Nàahm-taap-lóuh	
Nan'an District	南岸区	南岸區	Nán'àn Qū	Nàahm-ngohn Kēui	
Nan'an (in Fujian)	南安	南安	Nán'ān	Nàahm-ngōn	
Nan'an (in Fujian)	南安市	南安市	Nán'ān Shì	Nàahm-ngōn Síh	
Nan'ao (county, in Guangdong)	南澳县	南澳縣	Nán'ào Xiàn	Nàahm-ou Yún	
Nana (name)	纳娜	納娜	Nànà	Naahp-nàh	
Nanbu County	南部县	南部縣	Nánbù Xiàn	Nàahm-bouh Yún	
Nancha District	南岔区	南岔區	Nánchà Qū	Nàahm-chā Kēui	
Nanchang County	南昌县	南昌縣	Nánchāng Xiàn	Nàahm-chēung Yún	
Nanchang (in Jiangxi)	南昌市	南昌市	Nánchāng Shì	Nàahm-chēung Síh	
Nancheng (county, in Jiangxi)	南城县	南城縣	Nánchéng Xiàn	Nàahm-sìhng Yún	
Nanchong (in Sichuan)	南充	南充	Nánchōng	Nàahm-chūng	
Nanchong (in Sichuan)	南充市	南充市	Nánchōng Shì	Nàahm-chūng Síh	
Nanchuan (district, in Chongqing)	南川区	南川區	Nánchuān Qū	Nàahm-chyūn Kēui	
Nan County	南县	南縣	Nán Xiàn	Nàahm Yún	
Nancy	南希	南希	Nánxī	Nàahm-hēi	nˈænsi
Nancy (older translation)	南斯	南斯	Nánsī	Nàahm-sī	
Nandan (county, in Guangxi)	南丹县	南丹縣	Nándān Xiàn	Nàahm-dāan Yún	
Nanfen (district, in Liaoning)	南芬区	南芬區	Nánfēn Qū	Nàahm-fān Kēui	
Nanfeng (county, in Jiangxi)	南丰县	南丰縣	Nánfēng Xiàn	Nàahm-fūng Yún	
Nangang District	南岗区	南崗區	Nángǎng Qū	Nàahm-gōng Kēui	
Nangang District (in Taipei)	南港区	南港區	Nángǎng Qū	Nàahm-góng Kēui	
Nangan Township (Taiwan)	南竿乡	南竿鄉	Nángān Xiāng	Nàahm-gōn Hēung	
Nangong (in Hebei)	南宫市	南宮市	Nángōng Shì	Nàahm-gūng Síh	
Nangqian (county, in Qinghai)	囊谦县	囊謙縣	Nángqiān Xiàn	Nòhng-hīm Yún	
Nanguan District	南关区	南關區	Nánguān Qū	Nàahm-gwāan Kēui	
Nanhai District	南海区	南海區	Nánhǎi Qū	Nàahm-hói Kēui	
Nanhe (county, in Hebei)	南和县	南和縣	Nánhé Xiàn	Nàahm-wòh Yún	
Nanhua (county, in Yunnan)	南华县	南華縣	Nánhuá Xiàn	Nàahm-wàh Yún	
Nanhua District (in Tainan)	南化区	南化區	Nánhuà Qū	Nàahm-fa Kēui	
Nanhu District	南湖区	南湖區	Nánhú Qū	Nàahm-wùh Kēui	
Nanjian (county, in Yunnan)	南涧县	南澗縣	Nánjiàn Xiàn	Nàahm-gaan Yún	
Nanjiang (county, in Sichuan)	南江县	南江縣	Nánjiāng Xiàn	Nàahm-gōng Yún	
Nanjing (county, in Fujian)	南靖县	南靖縣	Nánjìng Xiàn	Nàahm-jihng Yún	
Nanjing (in Jiangsu)	南京市	南京市	Nánjīng Shì	Nàahm-gīng Síh	
Nankai District (in Tianjin)	南开区	南開區	Nánkāi Qū	Nàahm-hōi Kēui	
Nankang (city, in Jiangxi)	南康市	南康市	Nánkāng Shì	Nàahm-hōng Síh	
Nankang District	南康区	南康區	Nánkāng Qū	Nàahm-hōng Kēui	
Nanling (county, in Anhui)	南陵县	南陵縣	Nánlíng Xiàn	Nàahm-lìhng Yún	
Nanming District	南明区	南明區	Nánmíng Qū	Nàahm-mìhng Kēui	
Nanmulin County	南木林县	南木林縣	Nánmùlín Xiàn	Nàahm-muhk-làhm Yún	
Nanning (in Guangxi)	南宁市	南寧市	Nánníng Shì	Nàahm-nìhng Síh	
nano- (loan word?)	纳米	納米	nàmǐ	naahp-máih	
nanobubbles	纳米气泡	納米氣泡	nàmǐ qìpào	naahp-máih hei-pāau	
nanomachines	纳米机器	納米機器	nàmǐ jīqì	naahp-máih gēi-hei	
nanomedicine	纳米医学	納米醫學	nàmǐ yīxué	naahp-máih yī-hohk	
nanoscience	纳米科学	納米科學	nàmǐkēxué	naahp-máih-fō-hohk	
nanotechnology	纳米技术	納米技術	nàmǐ jìshù	naahp-máih geih-seuht	
nanotechnology	纳米科技	納米科技	nàmǐ kējì	naahp-máih fō-geih	
Nanpiao (district, in Liaoning)	南票区	南票區	Nánpiào Qū	Nàahm-piu Kēui	
Nanpi (county, in Hebei)	南皮县	南皮縣	Nánpí Xiàn	Nàahm-pèih Yún	
Nanping (in Fujian)	南平	南平	Nánpíng	Nàahm-pìhng	
Nanping (in Fujian)	南平市	南平市	Nánpíng Shì	Nàahm-pìhng Síh	
Nanqiao District	南谯区	南譙區	Nánqiáo Qū	Nàahm-chìuh Kēui	
Nansen	南森	南森	Nánsēn	Nàahm-sām	
Nansha District	南沙区	南沙區	Nánshā Qū	Nàahm-sā Kēui	
Nanshan District	南山区	南山區	Nánshān Qū	Nàahm-sāan Kēui	
Nanshan District	南山区	南山區	Nánshān Qū	Nàahm-sāan Kēui	
Nantong (in Jiangsu)	南通	南通	Nántōng	Nàahm-tūng	
Nantong (in Jiangsu)	南通市	南通市	Nántōng Shì	Nàahm-tūng Síh	
Nantou City (Taiwan)	南投市	南投市	Nántóu Shì	Nàahm-tàuh Síh	
Nantou County (Taiwan)	南投县	南投縣	Nántóu Xiàn	Nàahm-tàuh Yún	
Nantou (Taiwan interior)	南投	南投	Nántóu	Nàahm-tàuh	
Nantun District (in Taichung)	南屯区	南屯區	Nántún Qū	Nàahm-tyùhn Kēui	
Nanxi (county, in Sichuan)	南溪县	南溪縣	Nánxī Xiàn	Nàahm-kāi Yún	
Nanxi District	南溪区	南溪區	Nánxī Qū	Nàahm-kāi Kēui	
Nanxi (Nansi) District (in Tainan)	楠西区	楠西區	Nánxī Qū	Nàahm-sāi Kēui	
Nanxiong (in Guangdong)	南雄	南雄	Nánxióng	Nàahm-hùhng	
Nanxiong (in Guangdong)	南雄市	南雄市	Nánxióng Shì	Nàahm-hùhng Síh	
Nanxun District	南浔区	南潯區	Nánxún Qū	Nàahm-chàhm Kēui	
Nanyang (in Henan)	南阳	南陽	Nányáng	Nàahm-yèuhng	
Nanyang (in Henan)	南阳市	南陽市	Nányáng Shì	Nàahm-yèuhng Síh	
Nanyue County	南乐县	南樂縣	Nányuè Xiàn	Nàahm-ngohk Yún	
Nanyue District	南岳区	南岳區	Nányuè Qū	Nàahm-ngohk Kēui	
Nanzhang (county, in Hubei)	南漳	南漳	Nánzhāng	Nàahm-jēung	
Nanzhang (county, in Hubei)	南漳县	南漳縣	Nánzhāng Xiàn	Nàahm-jēung Yún	
Nanzhao (county, in Henan)	南召县	南召縣	Nánzhào Xiàn	Nàahm-jiuh Yún	
Nanzheng (county, in Shaanxi)	南郑县	南鄭縣	Nánzhèng Xiàn	Nàahm-jehng Yún	
Nanzheng District	南郑区	南鄭區	Nánzhèng Qū	Nàahm-jehng Kēui	
Nanzi (Nanzih) District (in Kaohsiung)	楠梓区	楠梓區	Nánzǐ Qū	Nàahm-jí Kēui	
Naomi (Bible)	拿俄米	拿俄米	Ná'émǐ	Nàh-ngòh-máih	nˈeɪəmi
Naomi (modern)	内奥美	內奧美	Nèi'àoměi	Noih-ou-méih	nˈeɪəmi
Naomi (modern)	娜奥米	娜奧米	Nà'àomǐ	Nàh-ou-máih	
naos (Greek for temple etc)	拿奥斯	拿奧斯	ná'àosī	nàh-ou-sī	
Naphish	拿非施	拿非施	Náfēishī	Nàh-fēi-sī	nˈeɪfɪʃ
Naphtali	拿弗他利	拿弗他利	Náfútālì	Nàh-fāt-tā-leih	nˈæftəːlaɪ
Napier	内皮尔	內皮爾	Nèipí'ěr	Noih-pèih-yíh	
Naples	那不勒斯	那不勒斯	Nàbùlèsī	Náh-bāt-lahk-sī	nˈeɪpəlz
Napoca	纳波卡	納波卡	Nàbōkǎ	Naahp-bō-kā	
Napo (county, in Guangxi)	那坡县	那坡縣	Nàpō Xiàn	Náh-bō Yún	
Napoleon; Napoléon	拿破仑	拿破侖	Nápòlún	Nàh-po-lèuhn	
Napoleon; Napoléon (variant)	拿破仑	拿破崙	Nápòlún	Nàh-po-lèuhn	
Napper	纳珀	納珀	Nàpò	Naahp-paak	
Naqsan	纳桑	納桑	Nàsāng	Naahp-sōng	
Narayana	纳拉亚纳	納拉亞納	Nàlāyànà	Naahp-lāai-nga-naahp	
Narcisse	纳西斯	納西斯	Nàxīsī	Naahp-sāi-sī	
Narcissistick (satirical word for selfie-stick)	自恋杆	自戀桿	zìliàngǎn	jih-lyún-gōn	
nard	甘松油	甘松油	gānsōngyóu	gām-chùhng-yàuh	
Nardo	纳尔多	納爾多	Nà'ěrduō	Naahp-yíh-dō	
narratology	叙事学	敘事學	xùshìxué	jeuih-sih-hohk	
narrow boat (on canals etc)	窄船	窄船	zhǎichuán	jaak-syùhn	
narrow escape; danger of death but still alive	险死还生	險死還生	xiǎnsǐ-háishēng	hím-séi-wàahn-sāang	
narrow one's eyes	眯眯眼	眯眯眼	mīmīyǎn	mēi-mēi-ngáahn	
narrow well	狭井	狹井	xiájǐng	haahp-jéng	
Narvik	纳尔维克	納爾維克	Nà'ěrwéikè	Naahp-yíh-wàih-hāk	
NAS; National Academy of Sciences (USA)	美国国家科学院	美國國家科學院	Měiguó guójiā kēxuéyuàn	Méih-gwok gwok-gā fō-hohk-yún	
NASA (lit. American National Aeronautics and Space Administration)	美国国家航空航天局	美國國家航空航天局	Měiguó Guójiā Hángkōng Hángtiān Jú	Méih-gwok Gwok-gā Hòhng-hūng Hòhng-tīn Guhk	
Nash	纳什	納什	Nàshí	Naahp-sahm	
Nasho	内斯奥	內斯奧	Nèisī'ào	Noih-sī-ou	
Nashville	纳什维尔	納什維爾	Nàshíwéi'ěr	Naahp-sahm-wàih-yíh	
Nassau	拿骚	拿騷	Násāo	Nàh-sōu	
Nasser	纳赛尔	納賽爾	Nàsài'ěr	Naahp-choi-yíh	
Natalie	娜塔丽	娜塔麗	Nàtǎlì	Nàh-taap-laih	
Natalie	娜塔莉	娜塔莉	Nàtǎlì	Nàh-taap-leih	
Natalie	纳塔莉	納塔莉	Nàtǎlì	Naahp-taap-leih	
Natal (place)	纳塔尔	納塔爾	Nàtǎ'ěr	Naahp-taap-yíh	
Natalya	纳塔利娅	納塔利婭	Nàtǎlìyà	Naahp-taap-leih-a	
Natasha	娜塔莎	娜塔莎	Nàtǎshā	Nàh-taap-sā	
Natas (Satan spelled backwards by rock band)	但撒	但撒	Dànsā	Daahn-saat	
Nate	奈特	奈特	Nàitè	Noih-dahk	
Nathalia	纳塔莉娅	納塔莉婭	Nàtǎlìyà	Naahp-taap-leih-a	
Nathalie	纳塔莉	納塔莉	Nàtǎlì	Naahp-taap-leih	
Nathanael	拿但业	拿但業	Nádànyè	Nàh-daahn-yihp	nʌθˈænjəl
Nathan (Bible)	拿单	拿單	Nádān	Nàh-dāan	nˈeɪθən
Nathaniel	纳撒尼尔	納撒尼爾	Nàsāní'ěr	Naahp-saat-nèih-yíh	nˌəθˈænɪəl
Nathan (modern)	内森	內森	Nèisēn	Noih-sām	nˈeɪθən
Nathan (modern)	纳坦	納坦	Nàtǎn	Naahp-táan	
Nathanson	内桑森	內桑森	Nèisāngsēn	Noih-sōng-sām	
nation	国族	國族	guózú	gwok-juhk	
national anthem is played	国歌奏起	國歌奏起	guógē zòuqi	gwok-gō jau-héi	
National Autonomous University of Mexico	墨西哥国立自治大学	墨西哥國立自治大學	Mòxīgē Guólì Zìzhì Dàxué	Mahk-sāi-gō Gwok-lahp Jih-jih Daaih-hohk	
National Chinese Orchestra of Taiwan	台湾国乐团	臺灣國樂團	Táiwān Guó Yuètuán	Tòih-wāan Gwok Ngohk-tyùhn	
National Geographic	国家地理	國家地理	Guójiā Dìlǐ	Gwok-gā Deih-léih	
National Health Service (Britain)	国民保健服务	國民保健服務	Guómín Bǎojiàn Fúwù	Gwok-màhn Bóu-gihn Fuhk-mouh	
national holiday; statutory holiday	法定假日	法定假日	fǎdìng jiàrì	faat-dihng ga-yaht	
National Human Rights Committee	国家人权委员会	國家人權委員會	Guójiā Rénquán Wěiyuánhuì	Gwok-gā Yàhn-kyùhn Wái-yùhn-wúi	
nationalistic fervor	爱国情绪	愛國情緒	àiguó qíngxù	ngoi-gwok chìhng-séuih	
<TW> National Library of Public Information	国立公共资讯图书馆	國立公共資訊圖書館	Guólì Gōnggòng Zīxùn Túshūguǎn	Gwok-lahp Gūng-guhng Jī-seun Tòuh-syū-gún	
National Post (newspaper)	全国邮报	全國郵報	Quánguó Yóubào	Chyùhn-gwok Yàuh-bou	
National Repentance Day (Papua New Guinea)	忏悔节	懺悔節	Chànhuǐjié	Chaam-fui-jit	
national second-grade actor	国家二级演员	國家二級演員	guójiā èrjí yǎnyuán	gwok-gā yih-kāp yín-yùhn	
nation of Israel	以色列国	以色列國	Yǐsèlièguó	Yíh-sīk-liht-gwok	
native homeland	聚居地	聚居地	jùjūdì	jeuih-gēui-deih	
native plant species	原生植物	原生植物	yuánshēng zhíwù	yùhn-sāang jihk-maht	
native speaker	母语者	母語者	mǔyǔzhě	móuh-yúh-jé	
Nativity scene (lit. three kings pay tribute)	三王来朝	三王來朝	sān wáng láicháo	sāam wòhng lòih-chìuh	
natural disinfectant (in open air)	天然杀菌剂	天然殺菌劑	tiānrán shājūnjì	tīn-yìhn saat-kwán-jāi	
natural forces	自然力量	自然力量	zìrán lìliang	jih-yìhn lihk-leuhng	
natural (scenic) area	自然景区	自然景區	zìrán jǐngqū	jih-yìhn gíng-kēui	
natural vegetation	天然植被	天然植被	tiānrán zhíbèi	tīn-yìhn jihk-péih	
Nauruan (language)	瑙鲁语	瑙魯語	Nǎolǔyǔ	Nóuh-lóuh-yúh	
Nauruz; Nowruz (Persian new year festival)	诺鲁兹节	諾魯茲節	Nuòlǔzījié	Nohk-lóuh-jī-jit	
nautical gathering	海上盛会	海上盛會	hǎishàng shènghuì	hói-seuhng sihng-wúi	
Navajo (language)	纳瓦霍语	納瓦霍語	Nàwǎhuòyǔ	Naahp-ngáh-fok-yúh	nˈævəhəʊ
Navajo (people)	纳瓦霍人	納瓦霍人	Nàwǎhuòrén	Naahp-ngáh-fok-yàhn	nˈævəhəʊ
naval (Hebrew word for moral fool)	纳巴	納巴	nàbā	naahp-bā	
Navarre	纳瓦拉	納瓦拉	Nàwǎlā	Naahp-ngáh-lāai	
Navarre	纳瓦雷	納瓦雷	Nàwǎléi	Naahp-ngáh-lèuih	
Navarro	纳瓦罗	納瓦羅	Nàwǎluó	Naahp-ngáh-lòh	
Naveh	纳拿	納拿	Nàná	Naahp-nàh	
Naveh	纳韦	納韋	Nàwéi	Naahp-wáih	
navigation; guide	导览	導覽	dǎolǎn	douh-láahm	
navigational devices (fitted to a ship)	导航装置	導航裝置	dǎoháng zhuāngzhì	douh-hòhng jōng-ji	
Navotas	纳沃塔斯	納沃塔斯	Nàwòtǎsī	Naahp-yūk-taap-sī	
Naxi District	纳溪区	納溪區	Nàxī Qū	Naahp-kāi Kēui	
Nayibe	纳伊贝	納伊貝	Nàyībèi	Naahp-yī-bui	
Nayong (county, in Guizhou)	纳雍县	納雍縣	Nàyōng Xiàn	Naahp-yūng Yún	
Nazarbayev	纳扎尔巴耶夫	納扎爾巴耶夫	Nàzhā'ěrbāyēfū	Naahp-jaat-yíh-bā-yèh-fū	
Nazarene	拿撒勒人	拿撒勒人	Násālèrén	Nàh-saat-lahk-yàhn	næzʌɹˈin
Nazareth	拿撒勒	拿撒勒	Násālè	Nàh-saat-lahk	nˈæzɚəθ
Nazeer	纳齐尔	納齊爾	Nàqí'ěr	Naahp-chàih-yíh	
Nazi agents	纳粹党徒	納粹黨徒	Nàcuì dǎngtú	Naahp-seui dóng-tòuh	
Nazi regime	纳粹政权	納粹政權	Nàcuì zhèngquán	Naahp-seui jing-kyùhn	
Nazirite (old translation?)	拿细耳人	拿細耳人	Náxì'ěrrén	Nàh-sai-yíh-yàhn	nˈæzɚaɪt
Ndebele (language)	恩德贝勒语	恩德貝勒語	Ēndébèilèyǔ	Yān-dāk-bui-lahk-yúh	
Ndjili	恩吉利	恩吉利	Ēnjílì	Yān-gāt-leih	
Ndola	恩多拉	恩多拉	Ēnduōlā	Yān-dō-lāai	
Ndonga (language)	恩东加语	恩東加語	Ēndōngjiāyǔ	Yān-dūng-gā-yúh	
Neah	尼亚	尼亞	Níyà	Nèih-nga	nˈiʌ
Neander	尼安达	尼安達	Ní'āndá	Nèih-ngōn-daaht	
Neapolis	尼亚波利	尼亞波利	Níyàbōlì	Nèih-nga-bō-leih	niˈæpʌlɪs
Neapolitan (language)	那不勒斯语	那不勒斯語	Nàbúlèsīyǔ	Náh-bāt-lahk-sī-yúh	
Neariah	尼利雅	尼利雅	Nílìyǎ	Nèih-leih-ngáh	nˌeɪɚˈaɪʌ
near ink become black	近墨者黑	近墨者黑	jìnmòzhěhēi	gahn-mahk-jé-hāk	
Nebai	尼拜	尼拜	Níbài	Nèih-baai	nˈibaɪ
Nebaioth (Ishmael's firstborn)	尼拜约	尼拜約	Níbàiyuē	Nèih-baai-yeuk	nʌbˈeɪɒθ
Nebat	尼百	尼百	Níbǎi	Nèih-baak	nˈibæt
Nebo	尼波	尼波	Níbō	Nèih-bō	nˈibəʊ
Nebolsin	涅伯辛	涅伯辛	Nièbóxīn	Nihp-baak-sān	
Nebraska	内布拉斯加州	內布拉斯加州	Nèibùlāsījiā Zhōu	Noih-bou-lāai-sī-ga Jāu	nˌəbɹˈæskə
Nebuchadnezzar; Nebuchadrezzar	尼布甲尼撒	尼布甲尼撒	Níbùjiǎnísā	Nèih-bou-gaap-nèih-saat	nɛbjʊkədnˈɛzʌɹ
Nebuzaradan	尼布撒拉旦	尼布撒拉旦	Níbùsālādàn	Nèih-bou-saat-lāai-daan	nɛbjˌʉːzʌɹˈædən
Necho(h)	尼哥	尼哥	Nígē	Nèih-gō	
neck-ache (at rear); muscle spasms of the neck	后颈疼痛	后頸疼痛	hòujǐng téngtòng	hauh-géng tàhng-tung	
Neckermann	内克曼	內克曼	Nèikèmàn	Noih-hāk-maahn	
<TW> necklace	项鍊	項鍊	xiàngliàn	hohng-lihn	
Ned	内德	內德	Nèidé	Noih-dāk	
Nedabiah	尼大比雅	尼大比雅	Nídàbǐyǎ	Nèih-daaih-béi-ngáh	nˌɛdəbˈaɪʌ
Needham	尼达姆	尼達姆	Nídámǔ	Nèih-daaht-móuh	
negative feelings	消极的情绪	消極的情緒	xiāojí de qíngxù	sīu-gihk dīk chìhng-séuih	
Negeb	南地	南地	Nándì	Nàahm-deih	nˈɛɡɛb
Negede	尼格德	尼格德	Nígédé	Nèih-gaak-dāk	
Negroponte	内格罗蓬特	內格羅蓬特	Nèigéluópéngtè	Noih-gaak-lòh-pùhng-dahk	
Nehe (in Heilongjiang)	讷河	訥河	Nèhé	Naht-hòh	
Nehe (in Heilongjiang)	讷河市	訥河市	Nèhé Shì	Naht-hòh Síh	
Nehemiah (Bible book)	尼希米记	尼希米記	Níxīmǐjì	Nèih-hēi-máih-gei	nˈiʌmˈaɪʌ
Nehemiah (book, Catholic version)	厄斯德拉下	厄斯德拉下	Èsīdélā Xià	Āak-sī-dāk-lāai Hah	nˈiʌmˈaɪʌ
Nehemiah (person)	尼希米	尼希米	Níxīmǐ	Nèih-hēi-máih	nˈiʌmˈaɪʌ
