Word	Simplified	Traditional	Pinyin	Yale (provisional)	IPA
Luhansk	卢汉斯克	盧漢斯克	Lúhànsīkè	Lòuh-hon-sī-hāk	
Luhansk	卢甘斯克	盧甘斯克	Lúgānsīkè	Lòuh-gām-sī-hāk	
Luhansk (city)	卢甘斯克市	盧甘斯克市	Lúgānsīkè Shì	Lòuh-gām-sī-hāk Síh	
Luhe (county, in Guangdong)	陆河县	陸河縣	Lùhé Xiàn	Luhk-hòh Yún	
Luhe District	六合区	六合區	Lùhé Qū	Luhk-hahp Kēui	
Luhe (town)	芦河镇	蘆河鎮	Lúhézhèn	Lòuh-hòh-jan	
Luhe (town)	鲁河镇	魯河鎮	Lǔhézhèn	Lóuh-hòh-jan	
Luhe Township	吕河乡	呂河鄉	Lǚhé Xiāng	Léuih-hòh Hēung	
Luhe Township	路河乡	路河鄉	Lùhé Xiāng	Louh-hòh Hēung	
Luhe Township	鲁河乡	魯河鄉	Lǔhé Xiāng	Lóuh-hòh Hēung	
Luhith	鲁希	魯希	Lǔxī	Lóuh-hēi	lˈʉːhɪθ
Luhongshi (town)	芦洪市镇	蘆洪市鎮	Lúhóngshìzhèn	Lòuh-hùhng-síh-jan	
Luhrs	吕尔斯	呂爾斯	Lǚ'ěrsī	Léuih-yíh-sī	
Luhuo (county, in Sichuan)	炉霍县	爐霍縣	Lúhuò Xiàn	Lòuh-fok Yún	
Luigi	路易吉	路易吉	Lùyìjí	Louh-yih-gāt	
Luikart	卢卡特	盧卡特	Lúkǎtè	Lòuh-kā-dahk	
Luis	路尔斯	路爾斯	Lù'ěrsī	Louh-yíh-sī	
Luiseno (language)	卢伊塞诺语	盧伊塞諾語	Lúyīsènuòyǔ	Lòuh-yī-choi-nohk-yúh	
Luiseno (written language)	卢伊塞诺文	盧伊塞諾文	Lúyīsènuòwén	Lòuh-yī-choi-nohk-màhn	
Luiza	路易莎	路易莎	Lùyìshā	Louh-yih-sā	
Lujan	卢汉	盧漢	Lúhàn	Lòuh-hon	
Lujiang (county, in Anhui)	庐江县	廬江縣	Lújiāng Xiàn	Lòuh-gōng Yún	
Lujiao (town)	鹿角镇	鹿角鎮	Lùjiǎozhèn	Luhk-gok-jan	
Lujiazui (in Shanghai)	陆家嘴	陸家嘴	Lùjiāzuǐ	Luhk-gā-jéui	
Lujing (town)	路井镇	路井鎮	Lùjǐngzhèn	Louh-jéng-jan	
Luji (town)	卢集镇	盧集鎮	Lújízhèn	Lòuh-jaahp-jan	
Luji (town)	芦集镇	蘆集鎮	Lújízhèn	Lòuh-jaahp-jan	
Luji Township	芦集乡	蘆集鄉	Lújí Xiāng	Lòuh-jaahp Hēung	
Lukai tribe (Taiwan)	鲁凯族	魯凱族	Lǔkǎizú	Lóuh-hói-juhk	
Lukas	露卡斯	露卡斯	Lùkǎsī	Louh-kā-sī	
Lukashenko	卢卡申科	盧卡申科	Lúkǎshēnkē	Lòuh-kā-sān-fō	
Lukasz	卢卡什	盧卡什	Lúkǎshí	Lòuh-kā-sahp	
Luke (gospel)	路加福音	路加福音	Lùjiā Fúyīn	Louh-gā Fūk-yām	
Luke (modern)	卢克	盧克	Lúkè	Lòuh-hāk	
Luke (modern)	路克	路克	Lùkè	Louh-hāk	
Lukens	卢肯斯	盧肯斯	Lúkěnsī	Lòuh-háng-sī	
Luke (person)	路加	路加	Lùjiā	Louh-gā	
Lukianivka	卢基亚尼夫卡	盧基亞尼夫卡	Lújīyànífūkǎ	Lòuh-gēi-nga-nèih-fū-kā	
Lukich	卢基奇	盧基奇	Lújīqí	Lòuh-gēi-kèih	
Lukin	卢金	盧金	Lújīn	Lòuh-gām	
Lukis	卢基斯	盧基斯	Lújīsī	Lòuh-gēi-sī	
Lukman	卢克曼	盧克曼	Lúkèmàn	Lòuh-hāk-maahn	
Lukodi	卢科迪	盧科迪	Lúkēdí	Lòuh-fō-dihk	
Lukong (town)	路孔镇	路孔鎮	Lùkǒngzhèn	Louh-húng-jan	
Lukou District	渌口区	淥口區	Lùkǒu Qū	Luhk-háu Kēui	
Lukou (town)	渌口镇	淥口鎮	Lùkǒuzhèn	Luhk-háu-jan	
Lukou (town)	路口镇	路口鎮	Lùkǒuzhèn	Louh-háu-jan	
Lukou (town)	鲁口镇	魯口鎮	Lǔkǒuzhèn	Lóuh-háu-jan	
Lukou Township	路口乡	路口鄉	Lùkǒu Xiāng	Louh-háu Hēung	
Lula	卢拉	盧拉	Lúlā	Lòuh-lāai	
Lule	吕勒	呂勒	Lǚlè	Léuih-lahk	
Luliang (county, in Yunnan)	陆良县	陸良縣	Lùliáng Xiàn	Luhk-lèuhng Yún	
Luliang (town)	吕良镇	呂良鎮	Lǚliángzhèn	Léuih-lèuhng-jan	
Luling (town)	吕陵镇	呂陵鎮	Lǚlíngzhèn	Léuih-lìhng-jan	
Luling (town)	芦岭镇	蘆嶺鎮	Lúlǐngzhèn	Lòuh-léhng-jan	
Lulin Lake (artificial lake in Lushan, Jiangxi)	芦林湖	蘆林湖	Lúlín Hú	Lòuh-làhm Wùh	
Lulker	卢尔克	盧爾克	Lú'ěrkè	Lòuh-yíh-hāk	
Lulong (county, in Hebei)	卢龙县	盧龍縣	Lúlóng Xiàn	Lòuh-lùhng Yún	
Lulong (town)	卢龙镇	盧龍鎮	Lúlóngzhèn	Lòuh-lùhng-jan	
Lulou (town)	鹿楼镇	鹿樓鎮	Lùlóuzhèn	Luhk-làuh-jan	
Lulou Township	鹿楼乡	鹿樓鄉	Lùlóu Xiāng	Luhk-làuh Hēung	
Lulu	路路	路路	Lùlù	Louh-louh	
Lulu	露露	露露	Lùlù	Louh-louh	
Lulua	卢卢阿	盧盧阿	Lúlú'ā	Lòuh-lòuh-a	
Lulworth	卢沃斯	盧沃斯	Lúwòsī	Lòuh-yūk-sī	
Lulworth Cove	卢沃斯湾	盧沃斯灣	Lúwòsīwān	Lòuh-yūk-sī-wāan	
Lumaqiao (town)	鹿马桥镇	鹿馬橋鎮	Lùmǎqiáozhèn	Luhk-máh-kìuh-jan	
Lumbard	伦巴德	倫巴德	Lúnbādé	Lèuhn-bā-dāk	
Lumbini	蓝毗尼	藍毗尼	Lánpíní	Làahm-pèih-nèih	
Lumbley	拉姆利	拉姆利	Lāmǔlì	Lāai-móuh-leih	
Lumbroso	伦布罗索	倫布羅索	Lúnbùluósuǒ	Lèuhn-bou-lòh-sok	
Lumby	拉姆比	拉姆比	Lāmǔbǐ	Lāai-móuh-béi	
lumen maintenance (of LED, CFL etc)	流明维持率	流明維持率	liúmíng wéichí lǜ	làuh-mìhng wàih-chìh leuht	
Lumia	卢米雅	盧米雅	Lúmǐyǎ	Lòuh-máih-ngáh	
Lumiao (town)	芦庙镇	蘆廟鎮	Lúmiàozhèn	Lòuh-miuh-jan	
Lumiao Township	芦庙乡	蘆廟鄉	Lúmiào Xiāng	Lòuh-miuh Hēung	
Lu Miaoyi (Chess player)	鹿妙夷	鹿妙夷	Lù Miàoyí	Luhk Miuh-yìh	
luminance	光亮度	光亮度	guāngliàngdù	gwōng-leuhng-douh	
Luming Township	鹿鸣乡	鹿鳴鄉	Lùmíng Xiāng	Luhk-mìhng Hēung	
Lumière	卢米埃尔	盧米埃爾	Lúmǐ'āi'ěr	Lòuh-máih-āai-yíh	
Lumière	吕米埃	呂米埃	Lǚmǐ'āi	Léuih-máih-āai	
Lumpkin	伦普金	倫普金	Lúnpǔjīn	Lèuhn-póu-gām	
Lumír	卢米尔	盧米爾	Lúmǐ'ěr	Lòuh-máih-yíh	
Luna	卢娜	盧娜	Lúnà	Lòuh-nàh	
Luna	卢纳	盧納	Lúnà	Lòuh-naahp	
Lunafreya	露娜弗蕾亚	露娜弗蕾亞	Lùnàfúlěiyà	Louh-nàh-fāt-lèuih-nga	
Lunafreya	露娜弗雷亚	露娜弗雷亞	Lùnàfúléiyà	Louh-nàh-fāt-lèuih-nga	
Lunain (river)	吕南河	呂南河	Lǚnánhé	Léuih-nàahm-hòh	
Lunan District	路南区	路南區	Lùnán Qū	Louh-nàahm Kēui	
Lunan (town)	路南镇	路南鎮	Lùnánzhèn	Louh-nàahm-jan	
Lunardi	卢纳迪	盧納迪	Lúnàdí	Lòuh-naahp-dihk	
lunar orbit; circumlunar orbit	环月轨道	環月軌道	huán yuè guǐdào	wàahn yuht gwái-douh	
lunar rover; moon buggy	月球车	月球車	yuèqiú chē	yuht-kàuh chē	
lunar sample	月球样品	月球樣品	yuèqiú yàngpǐn	yuht-kàuh yeuhng-bán	
Lunay	露奈	露奈	Lùnài	Louh-noih	
Luncang (town)	仑苍镇	仑苍镇	Lúncāngzhèn	Lèuhn-chōng-jan	
lunchtime (at workplace etc)	午餐时间	午餐時間	wǔcān shíjiān	ńgh-chāan sìh-gāan	
lunchtime concert	午餐时间音乐会	午餐時間音樂會	wǔcān shíjiān yīnyuèhuì	ńgh-chāan sìh-gāan yām-ngohk-wúi	
Lundahl	伦达尔	倫達爾	Lúndá'ěr	Lèuhn-daaht-yíh	
Lunda (language)	隆达语	隆達語	Lóngdáyǔ	Lùhng-daaht-yúh	
Lunda (written language)	隆达文	隆達文	Lóngdáwén	Lùhng-daaht-màhn	
Lundborg	伦德伯格	倫德伯格	Lúndébógé	Lèuhn-dāk-baak-gaak	
Lunde	伦德	倫德	Lúndé	Lèuhn-dāk	
Lunden; Lundine	伦丁	倫丁	Lúndīng	Lèuhn-dīng	
Lundgren	伦德格伦	倫德格倫	Lúndégélún	Lèuhn-dāk-gaak-lèuhn	
Lundholm	伦德霍尔姆	倫德霍爾姆	Lúndéhuò'ěrmǔ	Lèuhn-dāk-fok-yíh-móuh	
Lundi	伦迪	倫迪	Lúndí	Lèuhn-dihk	
Lundius	隆迪乌斯	隆迪烏斯	Lóngdíwūsī	Lùhng-dihk-wū-sī	
Lundquist	伦德奎斯特	倫德奎斯特	Lúndékuísītè	Lèuhn-dāk-fūi-sī-dahk	
Lunel	卢内尔	盧內爾	Lúnèi'ěr	Lòuh-noih-yíh	
Lunel	吕内勒	呂內勒	Lǚnèilè	Léuih-noih-lahk	
Lunetta	卢内塔	盧內塔	Lúnèitǎ	Lòuh-noih-taap	
Lungu	伦古	倫古	Lúngǔ	Lèuhn-gú	
Lunhe (town)	伦河镇	倫河鎮	Lúnhézhèn	Lèuhn-hòh-jan	
Lunkin	伦金	倫金	Lúnjīn	Lèuhn-gām	
Lunsford	伦斯福德	倫斯福德	Lúnsīfúdé	Lèuhn-sī-fūk-dāk	
Lunt	伦特	倫特	Lúntè	Lèuhn-dahk	
Luntai (county, in Xinjiang)	轮台县	輪台縣	Lúntái Xiàn	Lèuhn-tòih Yún	
Lunzhang Township	伦掌乡	倫掌鄉	Lúnzhǎng Xiāng	Lèuhn-jéung Hēung	
Luobei (county, in Heilongjiang)	萝北县	蘿北縣	Luóběi Xiàn	Lòh-bāk Yún	
Luobei Township	洛北乡	洛北鄉	Luòběi Xiāng	Lohk-bāk Hēung	
Luobu (town)	洛埠镇	洛埠鎮	Luòbùzhèn	Lohk-fauh-jan	
Luocheng (county, in Guangxi)	罗城县	羅城縣	Luóchéng Xiàn	Lòh-sìhng Yún	
Luocheng (town)	螺城镇	螺城鎮	Luóchéngzhèn	Lòh-sìhng-jan	
Luochuan (county, in Shaanxi)	洛川县	洛川縣	Luòchuān Xiàn	Lohk-chyūn Yún	
Luodian (county, in Guizhou)	罗甸县	羅甸縣	Luódiàn Xiàn	Lòh-dihn Yún	
Luodian (town)	骆店镇	駱店鎮	Luòdiànzhèn	Lok-dim-jan	
Luoding (in Guangdong)	罗定	羅定	Luódìng	Lòh-dihng	
Luoding (in Guangdong)	罗定市	羅定市	Luódìng Shì	Lòh-dihng Síh	
Luodong Township	洛东乡	洛東鄉	Luòdōng Xiāng	Lohk-dūng Hēung	
Luodong Township (in Yilan, TW)	罗东镇	羅東鎮	Luódōng zhèn	Lòh-dūng jan	
Luohe (in Henan)	漯河	漯河	Luòhé	Léuih-hòh	
Luohe (in Henan)	漯河市	漯河市	Luòhé Shì	Léuih-hòh Síh	
Luohe (town)	洛河镇	洛河鎮	Luòhézhèn	Lohk-hòh-jan	
Luohuang (town)	珞璜镇	珞璜鎮	Luòhuángzhèn	Lok-wòhng-jan	
Luohu District	罗湖区	羅湖區	Luóhú Qū	Lòh-wùh Kēui	
Luohu (town)	骆湖镇	駱湖鎮	Luòhúzhèn	Lok-wùh-jan	
Luojiang (county, in Sichuan)	罗江县	羅江縣	Luójiāng Xiàn	Lòh-gōng Yún	
Luojiang District	洛江区	洛江區	Luòjiāng Qū	Lohk-gōng Kēui	
Luojiang District	罗江区	羅江區	Luójiāng Qū	Lòh-gōng Kēui	
Luoji Township	骆集乡	駱集鄉	Luòjí Xiāng	Lok-jaahp Hēung	
Luoke Township	洛克乡	洛克鄉	Luòkè Xiāng	Lohk-hāk Hēung	
Luokou (town)	洛口镇	洛口鎮	Luòkǒuzhèn	Lohk-háu-jan	
Luo (language)	卢奥语	盧奧語	Lú'àoyǔ	Lòuh-ou-yúh	
Luolong County	洛隆县	洛隆縣	Luòlóng Xiàn	Lohk-lùhng Yún	
Luolong District	洛龙区	洛龍區	Luòlóng Qū	Lohk-lùhng Kēui	
Luolou (town)	逻楼镇	邏樓鎮	Luólóuzhèn	Lòh-làuh-jan	
Luoman (town)	洛满镇	洛滿鎮	Luòmǎnzhèn	Lohk-múhn-jan	
Luomingba River	罗明坝河	羅明壩河	Luómíngbà Hé	Lòh-mìhng-ba Hòh	
Luonan (county, in Shaanxi)	洛南县	洛南縣	Luònán Xiàn	Lohk-nàahm Yún	
Luoning (county, in Henan)	洛宁县	洛寧縣	Luòníng Xiàn	Lohk-nìhng Yún	
Luoping County (Yunnan)	罗平县	羅平縣	Luópíng Xiàn	Lòh-pìhng Yún	
Luoping (in Yunnan)	罗平	羅平	Luópíng	Lòh-pìhng	
Luoping (town)	罗平镇	羅平鎮	Luópíngzhèn	Lòh-pìhng-jan	
Luoping (town)	骡坪镇	騾坪鎮	Luópíngzhèn	Lòh-pìhng-jan	
Luoqi (town)	洛碛镇	洛磧鎮	Luòqìzhèn	Lohk-jaak-jan	
Luo River	洛江	洛江	Luò Jiāng	Lohk Gōng	
Luorong (town)	雒容镇	雒容鎮	Luòróngzhèn	Lok-yùhng-jan	
Luoshan (county, in Henan)	罗山县	羅山縣	Luóshān Xiàn	Lòh-sāan Yún	
Luoshan (town)	螺山镇	螺山鎮	Luóshānzhèn	Lòh-sāan-jan	
Luosha Township	逻沙乡	邏沙鄉	Luóshā Xiāng	Lòh-sā Hēung	
Luoshe (town)	洛社镇	洛社鎮	Luòshèzhèn	Lohk-séh-jan	
Luoshi (town)	洛市镇	洛市鎮	Luòshìzhèn	Lohk-síh-jan	
Luoshuihe Township	落水河乡	落水河鄉	Luòshuǐhé Xiāng	Lohk-séui-hòh Hēung	
Luosuo River	罗梭江	羅梭江	Luósuō Jiāng	Lòh-sō Gōng	
Luota Township	洛塔乡	洛塔鄉	Luòtǎ Xiāng	Lohk-taap Hēung	
Luotian (county, in Hubei)	罗田县	羅田縣	Luótián Xiàn	Lòh-tìhn Yún	
Luotian (town)	螺田镇	螺田鎮	Luótiánzhèn	Lòh-tìhn-jan	
Luoto	卢奥托	盧奧托	Lú'àotuō	Lòuh-ou-tok	
Luo (written language)	卢奥文	盧奧文	Lú'àowén	Lòuh-ou-màhn	
Luo Xiaohai (prominent Red Guard founder)	骆小海	駱小海	Luò Xiǎohǎi	Lok Síu-hói	
Luoxi (town)	螺溪镇	螺溪鎮	Luóxīzhèn	Lòh-kāi-jan	
Luoyang (in Henan)	洛阳市	洛陽市	Luòyáng Shì	Lohk-yèuhng Síh	
Luoyang (town)	洛阳镇	洛陽鎮	Luòyángzhèn	Lohk-yèuhng-jan	
Luoyang (town)	螺阳镇	螺陽鎮	Luóyángzhèn	Lòh-yèuhng-jan	
Luoyang Township	洛阳乡	洛陽鄉	Luòyáng Xiāng	Lohk-yèuhng Hēung	
Luoyuan (county, in Fujian)	罗源县	羅源縣	Luóyuán Xiàn	Lòh-yùhn Yún	
Luoyu (town)	骆峪镇	駱峪鎮	Luòyùzhèn	Lok-yuhk-jan	
Luozha County	洛扎县	洛扎縣	Luòzhā Xiàn	Lohk-jaat Yún	
Luozhou (town)	螺洲镇	螺洲鎮	Luózhōuzhèn	Lòh-jāu-jan	
Luozhuang District	罗庄区	羅莊區	Luózhuāng Qū	Lòh-jōng Kēui	
Luozhuang Township	骆庄乡	駱莊鄉	Luòzhuāng Xiāng	Lok-jōng Hēung	
Lupe	卢佩	盧佩	Lúpèi	Lòuh-pui	
Lupe	鲁佩	魯佩	Lǔpèi	Lóuh-pui	
Lupercalia (festival in ancient Rome)	牧神节	牧神節	Mùshénjié	Muhk-sàhn-jit	
Lupino	卢皮诺	盧皮諾	Lúpínuò	Lòuh-pèih-nohk	
Lupo	卢波	盧波	Lúbō	Lòuh-bō	
lupus	红斑狼疮	紅斑狼瘡	hóngbān lángchuāng	hùhng-bāan lòhng-chōng	
Lupu (town)	芦浦镇	蘆浦鎮	Lúpǔzhèn	Lòuh-pòuh-jan	
Lupu (town)	芦蒲镇	蘆蒲鎮	Lúpúzhèn	Lòuh-pòuh-jan	
Luqiao District	路桥区	路橋區	Lùqiáo Qū	Louh-kìuh Kēui	
Luqiao (town)	吕桥镇	呂橋鎮	Lǚqiáozhèn	Léuih-kìuh-jan	
Luqiao (town)	炉桥镇	爐橋鎮	Lúqiáozhèn	Lòuh-kìuh-jan	
Luqiao (town)	鲁桥镇	魯橋鎮	Lǔqiáozhèn	Lóuh-kìuh-jan	
Luqiao Township	路桥乡	路橋鄉	Lùqiáo Xiāng	Louh-kìuh Hēung	
Lu Qi (ex-Baidu venture capitalist)	陆奇	陸奇	Lù Qí	Luhk Kèih	
Luquan (city, in Hebei)	鹿泉市	鹿泉市	Lùquán Shì	Luhk-chyùhn Síh	
Luquan (county, in Yunnan)	禄劝县	祿勸縣	Lùquàn Xiàn	Luhk-hyun Yún	
Luquan District	鹿泉区	鹿泉區	Lùquán Qū	Luhk-chyùhn Kēui	
Luquan (town)	陆圈镇	陸圈鎮	Lùquānzhèn	Luhk-hyūn-jan	
Luquantun (town)	鲁权屯镇	魯權屯鎮	Lǔquántúnzhèn	Lóuh-kyùhn-tyùhn-jan	
Luqu (county, in Gansu)	碌曲县	碌曲縣	Lùqū Xiàn	Lūk-kūk Yún	
Luria	卢里亚	盧里亞	Lúlǐyà	Lòuh-léih-nga	
Lurie	卢里	盧里	Lúlǐ	Lòuh-léih	
Lusaka	卢萨卡	盧薩卡	Lúsàkǎ	Lòuh-saat-kā	
Lusaka (alternate translation)	路沙卡	路沙卡	Lùshākǎ	Louh-sā-kā	
Lushan (county, in Henan)	鲁山县	魯山縣	Lǔshān Xiàn	Lóuh-sāan Yún	
Lushan (county, in Sichuan)	芦山县	蘆山縣	Lúshān Xiàn	Lòuh-sāan Yún	
Lushan (in Jiangxi)	庐山	廬山	Lúshān	Lòuh-sāan	
Lushan (in Jiangxi)	庐山市	廬山市	Lúshān Shì	Lòuh-sāan Síh	
Lushan Township	吕山乡	呂山鄉	Lǚshān Xiāng	Léuih-sāan Hēung	
Lushei (language, old name of Mizo)	卢谢语	盧謝語	Lúxièyǔ	Lòuh-jeh-yúh	
Lushi (county, in Henan)	卢氏县	盧氏縣	Lúshì Xiàn	Lòuh-sih Yún	
Lushi (town)	卢市镇	盧市鎮	Lúshìzhèn	Lòuh-síh-jan	
lush meadows	青葱的草地	青蔥的草地	qīngcōng de cǎodì	chīng-chūng dīk chóu-deih	
Lushui (in Yunnan)	泸水	瀘水	Lúshuǐ	Lòuh-séui	
Lushui (in Yunnan)	泸水市	瀘水市	Lúshuǐ Shì	Lòuh-séui Síh	
Lushui (town)	绿水镇	綠水鎮	Lǜshuǐzhèn	Luhk-séui-jan	
Lushunkou (district, in Liaoning)	旅顺口区	旅順口區	Lǚshùnkǒu Qū	Léuih-seuhn-háu Kēui	
Lusia	卢西亚	盧西亞	Lúxīyà	Lòuh-sāi-nga	
Lusigang (town)	吕四港镇	呂四港鎮	Lǚsìgǎngzhèn	Léuih-sei-góng-jan	
Lusigang Township	鹭鸶港乡	鷺鷥港鄉	Lùsīgǎng Xiāng	Louh-sī-góng Hēung	
Lusine	卢西娜	盧西娜	Lúxīnà	Lòuh-sāi-nàh	
Lusk	勒斯克	勒斯克	Lēisīkè	Lahk-sī-hāk	
Lusong District	芦淞区	蘆淞區	Lúsōng Qū	Lòuh-sūng Kēui	
Lussac	吕萨克	呂薩克	Lǚsàkè	Léuih-saat-hāk	
Lu (state where Confucius lived)	鲁国	魯國	Lǔguó	Lóuh-gwok	
lust consumes body	慾火焚身	慾火焚身	yùhuǒ-fénshēn	yuhk-fó-fàhn-sān	
Lustgarten	勒斯特加滕	勒斯特加滕	Lèsītèjiāténg	Lahk-sī-dahk-gā-tàhng	
Lustig	劳斯蒂格	勞斯蒂格	Láosīdìgé	Lòuh-sī-dai-gaak	
Lustig	勒斯蒂格	勒斯蒂格	Lèsīdìgé	Lahk-sī-dai-gaak	
Lust (surname)	吕斯特	呂斯特	Lǚsītè	Léuih-sī-dahk	
lust (variant)	情慾	情慾	qíngyù	chìhng-yuhk	
lust (variant)	肉慾	肉慾	ròuyù	yuhk-yuhk	
Lusu	卢苏	盧蘇	Lúsū	Lòuh-sōu	
Lutang (town)	鲁塘镇	魯塘鎮	Lǔtángzhèn	Lóuh-tòhng-jan	
Lutang Township	芦塘乡	蘆塘鄉	Lútáng Xiāng	Lòuh-tòhng Hēung	
Lutan (town)	履坦镇	履坦鎮	Lǚtǎnzhèn	Léih-táan-jan	
Lutan Township	吕潭乡	呂潭鄉	Lǚtán Xiāng	Léuih-tàahm Hēung	
lute (alternate translation)	鲁特琴	魯特琴	lǔtèqín	lóuh-dahk-kàhm	
lute (lit. poem instrument)	诗琴	詩琴	shīqín	sī-kàhm	
Luther	卢瑟	盧瑟	Lúsè	Lòuh-sāt	lˈʊθɚ
Lutheran	路德会	路德會	Lùdéhuì	Louh-dāk-wúi	lˈʉːθəɹən
Lutian (town)	吕田镇	呂田鎮	Lǚtiánzhèn	Léuih-tìhn-jan	
Lutian (town)	渌田镇	淥田鎮	Lùtiánzhèn	Luhk-tìhn-jan	
Lutian (town)	潞田镇	潞田鎮	Lùtiánzhèn	Louh-tìhn-jan	
Lutian (town)	芦田镇	蘆田鎮	Lútiánzhèn	Lòuh-tìhn-jan	
Lutian Township	芦田乡	蘆田鄉	Lútián Xiāng	Lòuh-tìhn Hēung	
Luting (town)	吕亭镇	呂亭鎮	Lǚtíngzhèn	Léuih-tìhng-jan	
Luting Township	鹿亭乡	鹿亭鄉	Lùtíng Xiāng	Luhk-tìhng Hēung	
Lutman; Luttman	卢特曼	盧特曼	Lútèmàn	Lòuh-dahk-maahn	
Luton	卢顿	盧頓	Lúdùn	Lòuh-deuhn	
Lutsk	卢茨克	盧茨克	Lúcíkè	Lòuh-chìh-hāk	
Lutter	卢特尔	盧特爾	Lútè'ěr	Lòuh-dahk-yíh	
Lutter (river)	卢特河	盧特河	Lútè Hé	Lòuh-dahk Hòh	
Lutun (town)	芦屯镇	蘆屯鎮	Lútúnzhèn	Lòuh-tyùhn-jan	
Lutun Township	卢屯乡	盧屯鄉	Lútún Xiāng	Lòuh-tyùhn Hēung	
Lutz	卢茨	盧茨	Lúcí	Lòuh-chìh	
Luvale (language)	卢瓦勒语	盧瓦勒語	Lúwǎlēiyǔ	Lòuh-ngáh-lahk-yúh	
Luvale (written language)	卢瓦勒文	盧瓦勒文	Lúwǎlēiwén	Lòuh-ngáh-lahk-màhn	
Luvana	卢瓦娜	盧瓦娜	Lúwǎnà	Lòuh-ngáh-nàh	
Luvera	卢维拉	盧維拉	Lúwéilā	Lòuh-wàih-lāai	
Luvia	卢维亚	盧維亞	Lúwéiyà	Lòuh-wàih-nga	
Luvini	卢维尼	盧維尼	Lúwéiní	Lòuh-wàih-nèih	
Luvisi	卢维西	盧維西	Lúwéixī	Lòuh-wàih-sāi	
Luvoni	鲁沃尼	魯沃尼	Lǔwòní	Lóuh-yūk-nèih	
Lu Wencheng (1898-1981 Canton, gaohu&c)	吕文成	呂文成	Lǚ Wénchéng	Léuih Màhn-sìhng	
Luwo Township	鹿窝乡	鹿窩鄉	Lùwō Xiāng	Luhk-wō Hēung	
Lux	吕克斯	呂克斯	Lǚkèsī	Léuih-hāk-sī	
Luxembourgers (people)	卢森堡人	盧森堡人	Lúsēnbǎorén	Lòuh-sām-bóu-yàhn	
Luxembourgish (language)	卢森堡语	盧森堡語	Lúsēnbǎoyǔ	Lòuh-sām-bóu-yúh	
Luxembourgish (written language)	卢森堡文	盧森堡文	Lúsēnbǎowén	Lòuh-sām-bóu-màhn	
Lu Xiaoman (Xu Zhimo's 2nd wife 1926)	陆小曼	陸小曼	Lù Xiǎomàn	Luhk Síu-maahn	
Luxia (town)	炉下镇	爐下鎮	Lúxiàzhèn	Lòuh-hah-jan	
Luxia Township	路下乡	路下鄉	Lùxià Xiāng	Louh-hah Hēung	
Luxi (county, in Hunan)	泸溪县	瀘溪縣	Lúxī Xiàn	Lòuh-kāi Yún	
Luxi (county, in Jiangxi)	芦溪县	蘆溪縣	Lúxī Xiàn	Lòuh-kāi Yún	
Luxi (county, in Yunnan)	泸西县	瀘西縣	Lúxī Xiàn	Lòuh-sāi Yún	
Luxin Township	禄新乡	祿新鄉	Lùxīn Xiāng	Luhk-sān Hēung	
Luxi (town)	芦溪镇	蘆溪鎮	Lúxīzhèn	Lòuh-kāi-jan	
Luxi (town)	鲁溪镇	魯溪鎮	Lǔxīzhèn	Lóuh-kāi-jan	
Luxi Township	芦溪乡	蘆溪鄉	Lúxī Xiāng	Lòuh-kāi Hēung	
Luxor	卢克索	盧克索	Lúkèsuǒ	Lòuh-hāk-sok	
luxury gold (of phone etc)	土豪金	土豪金	tǔháojīn	tóu-hòuh-gām	
Luyang District	庐阳区	廬陽區	Lúyáng Qū	Lòuh-yèuhng Kēui	
Luyang (town)	卢阳镇	盧陽鎮	Lúyángzhèn	Lòuh-yèuhng-jan	
Luyang (town)	泸阳镇	瀘陽鎮	Lúyángzhèn	Lòuh-yèuhng-jan	
Luyang (town)	路阳镇	路陽鎮	Lùyángzhèn	Louh-yèuhng-jan	
Luyang (town)	闾阳镇	閭陽鎮	Lǘyángzhèn	Lèuih-yèuhng-jan	
Luyia (language)	卢雅语	盧雅語	Lúyǎyǔ	Lòuh-ngáh-yúh	
Luyia (written language)	卢雅文	盧雅文	Lúyǎwén	Lòuh-ngáh-màhn	
Luyi (county, in Henan)	鹿邑县	鹿邑縣	Lùyì Xiàn	Luhk-yāp Yún	
Lu Yin (1899–1934)	黄庐隐	黃廬隱	Huáng Lúyǐn	Wòhng Lòuh-yán	
Luyi (town)	卢医镇	盧醫鎮	Lúyīzhèn	Lòuh-yī-jan	
Luyi (town)	吕艺镇	呂藝鎮	Lǚyìzhèn	Léuih-ngaih-jan	
Luyuan (town)	鹿原镇	鹿原鎮	Lùyuánzhèn	Luhk-yùhn-jan	
Luyuan (town)	鹿苑镇	鹿苑鎮	Lùyuànzhèn	Luhk-yún-jan	
Luyuan Township	芦源乡	蘆源鄉	Lúyuán Xiāng	Lòuh-yùhn Hēung	
Luz	路斯	路斯	Lùsī	Louh-sī	
Luz	露兹	露茲	Lùzī	Louh-jī	
Luz	鲁兹	魯茲	Lǔzī	Lóuh-jī	
Luzhai County	鹿寨县	鹿寨縣	Lùzhài Xiàn	Luhk-jaaih Yún	
Luzhai (town)	吕寨镇	呂寨鎮	Lǚzhàizhèn	Léuih-jaaih-jan	
Luzhai (town)	鹿寨镇	鹿寨鎮	Lùzhàizhèn	Luhk-jaaih-jan	
